Title	URL	Milestone	Deliverable / Sprint	User Story	Story Type	Priority	Estimate (Story Points)	Status
As a user, I want to generate a shareable link to my profile, so I can include it in job applications, social media profiles, and email signatures without requiring recipients to create an account.	https://github.com/COS420-F25/TeamD/issues/70			Yes	Technical work	Low	2	Product Backlog
As a user, I want to show different portfolios for different purposes, so I can emphasize backend work when applying to infrastructure roles and emphasize design when applying to frontend roles.	https://github.com/COS420-F25/TeamD/issues/71			Yes	Technical work	Low	8	Product Backlog
As a user, I want to be able to view other users' portfolios, so I can see examples and what my peers are working on.	https://github.com/COS420-F25/TeamD/issues/72			Yes	Technical work	Low	2	Product Backlog
As a user, I want to change how my portfolio is displayed, so I can emphasize my strongest work first and create a professional impression.	https://github.com/COS420-F25/TeamD/issues/73			Yes	Technical work	Low	5	Product Backlog
As a user, I want to see the number of profile views, project clicks, and employer saves on my portfolio, so I can understand which projects attract the most attention.	https://github.com/COS420-F25/TeamD/issues/74			Yes	Technical work	Low	8	Product Backlog
As an employer, I want to be able to filter my search, so I can narrow down potential employees.	https://github.com/COS420-F25/TeamD/issues/75			Yes	Technical work	Low	3	Product Backlog
As an employer, I want portfolios to load quickly, so I can spend more time looking through candidates.	https://github.com/COS420-F25/TeamD/issues/76			Yes	Technical work	Low	5	Product Backlog
As an employer, I want to be able to quickly view basic information about a candidate, such as contact, name, or skillset.	https://github.com/COS420-F25/TeamD/issues/77			Yes	Technical work	Low	3	Product Backlog
As a user, I want a persistent navigation menu with clear labels like 'My Portfolio,' 'Browse Candidates,' and 'Settings,' so I can access key features without hunting for them.	https://github.com/COS420-F25/TeamD/issues/78			Yes	Technical work	Low	2	Product Backlog
As a user, I want to be able to look through employers on the site and send them my portfolio.	https://github.com/COS420-F25/TeamD/issues/79			Yes	Technical work	Low	3	Product Backlog
As a user, I want to be able to include my achievement highlights, so that non-technical recruiters can understand my accomplishments.	https://github.com/COS420-F25/TeamD/issues/80			Yes	Technical work	Low	3	Product Backlog
As a user, I want to track the performance of my portfolio (i.e. views, shares) so that I can gauge interest and adjust my portfolio accordingly.	https://github.com/COS420-F25/TeamD/issues/82			Yes	Technical work	Low	5	Product Backlog
As a user, I want to be able to organize my projects into different categories, so that employers can more easily find projects relevant to their interests.	https://github.com/COS420-F25/TeamD/issues/83			Yes	Technical work	Low	3	Product Backlog
As a user, I want to be able to set my job-seeking status, so that employers only contact me when looking for employment.	https://github.com/COS420-F25/TeamD/issues/84			Yes	Technical work	Low	2	Product Backlog
As an employer, I want to be able to see when users were last active or last updated their work, so I know what candidates are using up to date information or are likely to respond.	https://github.com/COS420-F25/TeamD/issues/85			Yes	Technical work	Low	3	Product Backlog
As a user, I want to annotate sections of my portfolio projects that were created or improved with AI tools like GitHub Copilot, or ChatGPT, so that employers can see specific examples of how I leverage AI in my workflow.	https://github.com/COS420-F25/TeamD/issues/86			Yes	Technical work	Low	5	Product Backlog
As a user, I want to display before and after code samples for key tasks, showing how A generated suggestions improved my solutions, so employers can evaluate my ability to apply and validate AI outputs.	https://github.com/COS420-F25/TeamD/issues/87			Yes	Technical work	Low	5	Product Backlog
As a user, I want to include a section in my portfolio to showcase my AI prompt engineering techniques and the outcomes of different prompts, so employers can assess my creativity and skill in directing generative AI to solve problems.	https://github.com/COS420-F25/TeamD/issues/88			Yes	Technical work	Low	5	Product Backlog
As an employer, I want to filter and search candidate portfolios by demonstrating use of AI skills or tools such as prompt engineering, Copilot, or API usage, so I can easily identify candidates with relevant AI capabilities for my company’s needs.	https://github.com/COS420-F25/TeamD/issues/89			Yes	Technical work	Low	3	Product Backlog
As an employer, I want to filter and search candidate portfolios by demonstrating use of AI skills or tools such as prompt engineering, Copilot, or API usage, so I can easily identify candidates with relevant AI capabilities for my company’s needs.	https://github.com/COS420-F25/TeamD/issues/93			Yes	Technical work	Low	5	Product Backlog
